Year,Series_ID,Series,Unit,Value
2000,4362,Access to electricity (SDG),% of population,12.4
2001,4362,Access to electricity (SDG),% of population,12.7
2002,4362,Access to electricity (SDG),% of population,13.1
2003,4362,Access to electricity (SDG),% of population,13.4
2004,4362,Access to electricity (SDG),% of population,13.8
2005,4362,Access to electricity (SDG),% of population,14.1
2006,4362,Access to electricity (SDG),% of population,12.4
2007,4362,Access to electricity (SDG),% of population,14.9
2008,4362,Access to electricity (SDG),% of population,15.3
2009,4362,Access to electricity (SDG),% of population,17.2
2010,4362,Access to electricity (SDG),% of population,19.5
2011,4362,Access to electricity (SDG),% of population,17.3
2012,4362,Access to electricity (SDG),% of population,17.5
2013,4362,Access to electricity (SDG),% of population,17.8
2014,4362,Access to electricity (SDG),% of population,18.1
2015,4362,Access to electricity (SDG),% of population,18.4
2016,4362,Access to electricity (SDG),% of population,13.5
2017,4362,Access to electricity (SDG),% of population,19.2
2018,4362,Access to electricity (SDG),% of population,16.6
2019,4362,Access to electricity (SDG),% of population,23.6
2020,4362,Access to electricity (SDG),% of population,20.5
2021,4362,Access to electricity (SDG),% of population,20.9
2022,4362,Access to electricity (SDG),% of population,19.0
2000,4363,Access to electricity (SDG),% of rural population,4.4
2001,4363,Access to electricity (SDG),% of rural population,4.8
2002,4363,Access to electricity (SDG),% of rural population,5.2
2003,4363,Access to electricity (SDG),% of rural population,5.6
2004,4363,Access to electricity (SDG),% of rural population,6.0
2005,4363,Access to electricity (SDG),% of rural population,6.5
2006,4363,Access to electricity (SDG),% of rural population,5.0
2007,4363,Access to electricity (SDG),% of rural population,7.4
2008,4363,Access to electricity (SDG),% of rural population,7.9
2009,4363,Access to electricity (SDG),% of rural population,9.3
2010,4363,Access to electricity (SDG),% of rural population,11.8
2011,4363,Access to electricity (SDG),% of rural population,9.5
2012,4363,Access to electricity (SDG),% of rural population,9.9
2013,4363,Access to electricity (SDG),% of rural population,10.3
2014,4363,Access to electricity (SDG),% of rural population,10.8
2015,4363,Access to electricity (SDG),% of rural population,11.3
2016,4363,Access to electricity (SDG),% of rural population,5.6
2017,4363,Access to electricity (SDG),% of rural population,12.3
2018,4363,Access to electricity (SDG),% of rural population,10.5
2019,4363,Access to electricity (SDG),% of rural population,17.1
2020,4363,Access to electricity (SDG),% of rural population,13.6
2021,4363,Access to electricity (SDG),% of rural population,14.0
2022,4363,Access to electricity (SDG),% of rural population,14.2
2000,4361,Access to electricity (SDG),% of urban population,65.0
2001,4361,Access to electricity (SDG),% of urban population,65.0
2002,4361,Access to electricity (SDG),% of urban population,64.9
2003,4361,Access to electricity (SDG),% of urban population,64.9
2004,4361,Access to electricity (SDG),% of urban population,64.8
2005,4361,Access to electricity (SDG),% of urban population,64.8
2006,4361,Access to electricity (SDG),% of urban population,61.3
2007,4361,Access to electricity (SDG),% of urban population,64.9
2008,4361,Access to electricity (SDG),% of urban population,64.9
2009,4361,Access to electricity (SDG),% of urban population,69.6
2010,4361,Access to electricity (SDG),% of urban population,71.2
2011,4361,Access to electricity (SDG),% of urban population,69.6
2012,4361,Access to electricity (SDG),% of urban population,68.8
2013,4361,Access to electricity (SDG),% of urban population,68.0
2014,4361,Access to electricity (SDG),% of urban population,67.1
2015,4361,Access to electricity (SDG),% of urban population,66.1
2016,4361,Access to electricity (SDG),% of urban population,66.2
2017,4361,Access to electricity (SDG),% of urban population,65.3
2018,4361,Access to electricity (SDG),% of urban population,57.0
2019,4361,Access to electricity (SDG),% of urban population,66.0
2020,4361,Access to electricity (SDG),% of urban population,65.2
2021,4361,Access to electricity (SDG),% of urban population,65.2
2022,4361,Access to electricity (SDG),% of urban population,65.1
