Year,Series_ID,Series,Unit,Value
2000,2857,Prevalence of anaemia in women,% of female aged 15-49,34.7
2001,2857,Prevalence of anaemia in women,% of female aged 15-49,34.5
2002,2857,Prevalence of anaemia in women,% of female aged 15-49,34.3
2003,2857,Prevalence of anaemia in women,% of female aged 15-49,34.2
2004,2857,Prevalence of anaemia in women,% of female aged 15-49,34.2
2005,2857,Prevalence of anaemia in women,% of female aged 15-49,34.1
2006,2857,Prevalence of anaemia in women,% of female aged 15-49,34.0
2007,2857,Prevalence of anaemia in women,% of female aged 15-49,33.9
2008,2857,Prevalence of anaemia in women,% of female aged 15-49,33.7
2009,2857,Prevalence of anaemia in women,% of female aged 15-49,33.4
2010,2857,Prevalence of anaemia in women,% of female aged 15-49,33.3
2011,2857,Prevalence of anaemia in women,% of female aged 15-49,33.4
2012,2857,Prevalence of anaemia in women,% of female aged 15-49,33.4
2013,2857,Prevalence of anaemia in women,% of female aged 15-49,33.5
2014,2857,Prevalence of anaemia in women,% of female aged 15-49,33.5
2015,2857,Prevalence of anaemia in women,% of female aged 15-49,25.5
2016,2857,Prevalence of anaemia in women,% of female aged 15-49,25.7
2017,2857,Prevalence of anaemia in women,% of female aged 15-49,25.9
2018,2857,Prevalence of anaemia in women,% of female aged 15-49,26.2
2019,2857,Prevalence of anaemia in women,% of female aged 15-49,26.6
2020,2857,Prevalence of anaemia in women,% of female aged 15-49,27.0
2021,2857,Prevalence of anaemia in women,% of female aged 15-49,27.4
2022,2857,Prevalence of anaemia in women,% of female aged 15-49,28.0
2023,2857,Prevalence of anaemia in women,% of female aged 15-49,28.8
2000,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,33.6
2001,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,33.3
2002,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,33.2
2003,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,33.1
2004,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,33.0
2005,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,33.0
2006,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,32.9
2007,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,32.8
2008,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,32.6
2009,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,32.4
2010,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,32.3
2011,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,32.4
2012,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,32.5
2013,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,32.6
2014,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,32.6
2015,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,25.1
2016,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,25.3
2017,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,25.6
2018,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,25.9
2019,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,26.3
2020,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,26.7
2021,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,27.2
2022,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,27.9
2023,2821,Prevalence of anaemia in women,% of non-pregnant women aged 15-49,28.6
2000,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,46.8
2001,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,46.8
2002,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,46.7
2003,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,46.7
2004,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,46.7
2005,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,46.6
2006,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,46.5
2007,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,46.4
2008,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,46.2
2009,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,45.9
2010,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,45.7
2011,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,45.6
2012,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,45.4
2013,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,45.3
2014,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,45.1
2015,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,30.9
2016,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,30.8
2017,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,30.8
2018,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,30.7
2019,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,30.7
2020,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,30.7
2021,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,30.7
2022,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,30.8
2023,2917,Prevalence of anaemia in women,% of pregnant women aged 15-49,30.9
