"Year","Series_ID","Series","Unit","Value"
"2000",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",5.4
"2001",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",5.5
"2002",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",5.6
"2003",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",5.65
"2004",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",5.9
"2005",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",6.1
"2006",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",6.2
"2007",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",6.5
"2008",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",6.9
"2009",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",7.3
"2010",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",7.7
"2011",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",7.9
"2012",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",8.4
"2013",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",8.5
"2014",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",8.9
"2015",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",8.9
"2016",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",9.1
"2017",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",9.3
"2018",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",9.5
"2019",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",9.5
"2020",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",9.6
"2021",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",9.8
"2022",4369,"Population with primary reliance on clean fuels and technologies for cooking","% of population",10
"2000",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",0.1
"2001",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",0.2
"2002",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",0.3
"2003",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",0.4
"2004",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",0.6
"2005",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",0.8
"2006",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",1.1
"2007",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",1.4
"2008",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",1.7
"2009",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",2.1
"2010",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",2.6
"2011",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",2.9
"2012",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",3.3
"2013",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",3.6
"2014",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",4
"2015",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",4.2
"2016",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",4.3
"2017",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",4.7
"2018",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",4.8
"2019",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",4.9
"2020",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",5.1
"2021",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",5.2
"2022",2975,"Population with primary reliance on clean fuels and technologies for cooking","% of rural population",5.3
"2000",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",39.3
"2001",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",39.9
"2002",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",39.8
"2003",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",40.2
"2004",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",40
"2005",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",40.3
"2006",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",40.1
"2007",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",40.5
"2008",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",40.5
"2009",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",40.1
"2010",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",39.75
"2011",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",39.5
"2012",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",39.6
"2013",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",39.2
"2014",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",38.5
"2015",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",38.2
"2016",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",37.7
"2017",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",37.1
"2018",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",36.9
"2019",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",36.4
"2020",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",35.55
"2021",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",35.2
"2022",3008,"Population with primary reliance on clean fuels and technologies for cooking","% of urban population",34.2
