"Year","Series_ID","Series","Unit","Value"
"2000",2943,"Alcohol per capita consumption","Litres per annum, female population aged 15+",0.74479
"2005",2943,"Alcohol per capita consumption","Litres per annum, female population aged 15+",0.638
"2010",2943,"Alcohol per capita consumption","Litres per annum, female population aged 15+",0.47327
"2000",2995,"Alcohol per capita consumption","Litres per annum, male population aged 15+",3.49712
"2005",2995,"Alcohol per capita consumption","Litres per annum, male population aged 15+",3.02049
"2010",2995,"Alcohol per capita consumption","Litres per annum, male population aged 15+",2.25998
"2000",2574,"Alcohol per capita consumption","Litres per annum, population aged 15+",2.17703
"2005",2574,"Alcohol per capita consumption","Litres per annum, population aged 15+",1.87577
"2010",2574,"Alcohol per capita consumption","Litres per annum, population aged 15+",1.401
"2015",2574,"Alcohol per capita consumption","Litres per annum, population aged 15+",1.68184
"2016",2574,"Alcohol per capita consumption","Litres per annum, population aged 15+",1.88252
"2017",2574,"Alcohol per capita consumption","Litres per annum, population aged 15+",1.80229
"2018",2574,"Alcohol per capita consumption","Litres per annum, population aged 15+",1.74818
"2019",2574,"Alcohol per capita consumption","Litres per annum, population aged 15+",1.53164
"2020",2574,"Alcohol per capita consumption","Litres per annum, population aged 15+",1.39537
"2021",2574,"Alcohol per capita consumption","Litres per annum, population aged 15+",1.27406
"2022",2574,"Alcohol per capita consumption","Litres per annum, population aged 15+",1.27406
